sports
Athletics, 2022-08-16 09:00:00, 100m Wheelchair Male, Qualification - Heat 1, Canada Games Park
Canoe Kayak, 2022-08-19 12:05:00, C-2 200m Male, Final - Medal Heat, Welland International Flatwater Centre
Canoe Kayak, 2022-08-19 12:10:00, IC-4 200m Female, Final - Consolation Heat, Welland International Flatwater Centre
Canoe Kayak, 2022-08-19 12:15:00, IC-4 200m Female, Final - Medal Heat, Welland International Flatwater Centre
Canoe Kayak, 2022-08-19 12:20:00, K-4 200m Male, Final - Consolation Heat, Welland International Flatwater Centre
Canoe Kayak, 2022-08-19 12:25:00, K-4 200m Male, Final - Medal Heat, Welland International Flatwater Centre
Canoe Kayak, 2022-08-19 13:30:00, C-1 5000m Male, Final - Heat, Welland International Flatwater Centre
Canoe Kayak, 2022-08-19 14:10:00, K-1 5000m Female, Final - Heat, Welland International Flatwater Centre
Canoe Kayak, 2022-08-19 14:50:00, C-1 5000m Female, Final - Heat, Welland International Flatwater Centre
Canoe Kayak, 2022-08-19 15:30:00, K-1 5000m Male, Final - Heat, Welland International Flatwater Centre
Cycling, 2022-08-08 12:00:00, Mountain Bike - Cross Country Female, Final - Race, Twelve Mile Creek
Cycling, 2022-08-08 14:30:00, Mountain Bike - Cross Country Male, Final - Race, Twelve Mile Creek
Cycling, 2022-08-10 10:00:00, Mountain Bike - Relay Female, Final - Race, Twelve Mile Creek
Cycling, 2022-08-10 12:30:00, Mountain Bike - Relay Male, Final - Race, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Female, Quarterfinal - Heat 1, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Female, Quarterfinal - Heat 2, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Female, Quarterfinal - Heat 3, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Female, Quarterfinal - Heat 4, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Female, Quarterfinal - Heat 5, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Female, Quarterfinal - Heat 6, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Female, Semifinal - Heat 1, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Female, Semifinal - Heat 2, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Female, Final - Consolation Heat, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Female, Final - Medal Heat, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Male, Quarterfinal - Heat 1, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Male, Quarterfinal - Heat 2, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Male, Quarterfinal - Heat 3, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Male, Quarterfinal - Heat 4, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Male, Quarterfinal - Heat 5, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Male, Quarterfinal - Heat 6, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Male, Semifinal - Heat 1, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Male, Semifinal - Heat 2, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Male, Final - Consolation Heat, Twelve Mile Creek
Cycling, 2022-08-12 10:30:00, Mountain Bike - Sprint Male, Final - Medal Heat, Twelve Mile Creek
Cycling, 2022-08-16 10:00:00, Road Cycling - Individual Time Trial Female, Final - Race, Port Colborne - H.H. Knoll Lakeview Park
Cycling, 2022-08-16 12:00:00, Road Cycling - Individual Time Trial Male, Final - Race, Port Colborne - H.H. Knoll Lakeview Park
Cycling, 2022-08-18 10:00:00, Road Cycling - Road Race Female, Final - Race, Town of Pelham - Fonthill
Cycling, 2022-08-18 14:30:00, Road Cycling - Road Race Male, Final - Race, Town of Pelham - Fonthill
Cycling, 2022-08-20 15:00:00, Road Cycling - Criterium Female, Final - Race, Brock University
Cycling, 2022-08-20 17:00:00, Road Cycling - Criterium Male, Final - Race, Brock University
Diving, 2022-08-16 13:15:00, Artistic Female, Final - Final, Etobicoke Olympium
Diving, 2022-08-16 16:00:00, Artistic Male, Final - Final, Etobicoke Olympium
Diving, 2022-08-16 18:45:00, Team Mix, Final - Final, Etobicoke Olympium
Diving, 2022-08-17 09:30:00, 3m Springboard Male, Preliminary - Preliminary, Etobicoke Olympium
Diving, 2022-08-17 13:30:00, Platform Female, Preliminary - Preliminary, Etobicoke Olympium
Diving, 2022-08-17 17:00:00, 3m Springboard Male, Final - Final, Etobicoke Olympium
Diving, 2022-08-17 18:45:00, Platform Female, Final - Final, Etobicoke Olympium
Diving, 2022-08-18 09:30:00, 3m Springboard Female, Preliminary - Preliminary, Etobicoke Olympium
Diving, 2022-08-18 13:15:00, Platform Male, Preliminary - Preliminary, Etobicoke Olympium
Diving, 2022-08-18 17:15:00, 3m Springboard Female, Final - Final, Etobicoke Olympium
Diving, 2022-08-18 19:00:00, Platform Male, Final - Final, Etobicoke Olympium
Diving, 2022-08-20 10:30:00, 1m Springboard Female, Preliminary - Preliminary, Brock University-Eleanor Misener Aquatics Centre
Diving, 2022-08-20 14:30:00, 1m Springboard Male, Preliminary - Preliminary, Brock University-Eleanor Misener Aquatics Centre
Diving, 2022-08-21 09:45:00, 1m Springboard Female, Final - Final, Brock University-Eleanor Misener Aquatics Centre
Diving, 2022-08-21 11:45:00, 1m Springboard Male, Final - Final, Brock University-Eleanor Misener Aquatics Centre
Golf, 2022-08-17 09:00:00, Individual Female, Final - Round 1, Legends on the Niagara
Golf, 2022-08-17 09:00:00, Individual Male, Final - Round 1, Legends on the Niagara
Golf, 2022-08-17 09:00:00, Team Mix, Final - Round 1, Legends on the Niagara
Golf, 2022-08-18 09:00:00, Individual Female, Final - Round 2, Legends on the Niagara
Golf, 2022-08-18 09:00:00, Individual Male, Final - Round 2, Legends on the Niagara
Golf, 2022-08-18 09:00:00, Team Mix, Final - Round 2, Legends on the Niagara
Golf, 2022-08-19 09:00:00, Individual Male, Final - Round 3, Legends on the Niagara
Golf, 2022-08-19 09:00:00, Team Mix, Final - Round 3, Legends on the Niagara
Golf, 2022-08-19 09:40:00, Individual Female, Final - Round 3, Legends on the Niagara
Golf, 2022-08-20 09:00:00, Individual Female, Final - Final Round, Legends on the Niagara
Golf, 2022-08-20 09:00:00, Team Mix, Final - Final Round, Legends on the Niagara
Golf, 2022-08-20 09:40:00, Individual Male, Final - Final Round, Legends on the Niagara
Rowing, 2022-08-17 09:00:00, Single Scull Female, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 09:10:00, Single Scull Female, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 09:20:00, Pair Male, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 09:30:00, Pair Male, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 09:40:00, Quadruple Sculls Female, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 09:50:00, Quadruple Sculls Female, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 10:00:00, Pair Female, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 10:10:00, Pair Female, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 11:00:00, Quadruple Sculls Male, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 11:10:00, Quadruple Sculls Male, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 11:20:00, Eight with Coxswain Male, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 11:30:00, Eight with Coxswain Male, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 11:40:00, Lightweight Double Sculls Female, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 11:50:00, Lightweight Double Sculls Female, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 14:00:00, Single Scull Female, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 14:10:00, Pair Male, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 14:20:00, Quadruple Sculls Female, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 14:30:00, Pair Female, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 14:40:00, Quadruple Sculls Male, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 14:50:00, Lightweight Double Sculls Female, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-17 15:00:00, Eight with Coxswain Male, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 09:00:00, Single Scull Male, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 09:10:00, Single Scull Male, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 09:20:00, Double Sculls Female, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 09:30:00, Double Sculls Female, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 09:40:00, Four Male, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 09:50:00, Four Male, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 10:00:00, Four Female, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 10:10:00, Four Female, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 11:00:00, Double Sculls Male, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 11:10:00, Double Sculls Male, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 11:20:00, Eight with Coxswain Female, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 11:30:00, Eight with Coxswain Female, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 11:40:00, Lightweight Double Sculls Male, Qualification - Heat 1, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 11:50:00, Lightweight Double Sculls Male, Qualification - Heat 2, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 13:30:00, Single Scull Male, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 13:40:00, Double Sculls Female, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 13:50:00, Four Male, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 14:00:00, Four Female, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 15:10:00, Double Sculls Male, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 15:20:00, Lightweight Double Sculls Male, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-18 15:30:00, Eight with Coxswain Female, Repêchage - Repêchage, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 09:00:00, Single Scull Female, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 09:10:00, Single Scull Female, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 09:25:00, Pair Male, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 09:35:00, Pair Male, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 09:50:00, Quadruple Sculls Female, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 10:00:00, Quadruple Sculls Female, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 10:15:00, Pair Female, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 10:25:00, Pair Female, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 11:00:00, Quadruple Sculls Male, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 11:10:00, Quadruple Sculls Male, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 11:25:00, Lightweight Double Sculls Female, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 11:35:00, Lightweight Double Sculls Female, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 11:50:00, Eight with Coxswain Male, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-20 12:00:00, Eight with Coxswain Male, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 09:00:00, Single Scull Male, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 09:10:00, Single Scull Male, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 09:25:00, Double Sculls Male, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 09:35:00, Double Sculls Male, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 09:50:00, Four Female, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 10:00:00, Four Female, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 10:15:00, Four Male, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 10:25:00, Four Male, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 11:00:00, Double Sculls Female, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 11:10:00, Double Sculls Female, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 11:25:00, Lightweight Double Sculls Male, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 11:35:00, Lightweight Double Sculls Male, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 11:50:00, Eight with Coxswain Female, Final - Consolation Heat, Royal Canadian Henley Rowing Course
Rowing, 2022-08-21 12:00:00, Eight with Coxswain Female, Final - Medal Heat, Royal Canadian Henley Rowing Course
Rugby Sevens, 2022-08-08 14:00:00, Female, Preliminary | Pool A - Game 1, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 14:22:00, Female, Preliminary | Pool A - Game 2, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 14:44:00, Female, Preliminary | Pool B - Game 3, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 15:06:00, Female, Preliminary | Pool B - Game 4, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 15:28:00, Female, Preliminary | Pool B - Game 5, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 16:30:00, Female, Preliminary | Pool A - Game 6, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 16:52:00, Female, Preliminary | Pool A - Game 7, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 17:14:00, Female, Preliminary | Pool B - Game 8, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 17:36:00, Female, Preliminary | Pool B - Game 9, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 17:58:00, Female, Preliminary | Pool B - Game 10, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 19:00:00, Female, Preliminary | Pool A - Game 11, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 19:22:00, Female, Preliminary | Pool A - Game 12, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 19:44:00, Female, Preliminary | Pool B - Game 13, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 20:06:00, Female, Preliminary | Pool B - Game 14, Brock University- Alumni Field
Rugby Sevens, 2022-08-08 20:28:00, Female, Preliminary | Pool B - Game 15, Brock University- Alumni Field
Rugby Sevens, 2022-08-09 14:00:00, Female, Consolation - Game 16 (5B vs 6B), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 14:22:00, Female, Quarterfinal - Game 17 (4A vs 1B), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 14:44:00, Female, Quarterfinal - Game 18 (1A vs 4B), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 15:06:00, Female, Quarterfinal - Game 19 (2A vs 3B), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 15:28:00, Female, Quarterfinal - Game 20 (3A vs 2B), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 16:30:00, Female, Consolation - Game 21 (L18 vs L19), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 16:52:00, Female, Consolation - Game 22 (L17 vs 5B), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 17:14:00, Female, Semifinal - Game 23 (W17 vs W18), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 17:36:00, Female, Semifinal - Game 24 (W19 vs W20), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 18:30:00, Female, Consolation - Game 25 (L20 vs L18), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 18:52:00, Female, Consolation - Game 26 (L17 vs 6B), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 19:45:00, Female, Final - Bronze Medal Game, Brock University- Alumni Field
Rugby Sevens, 2022-08-09 20:15:00, Female, Consolation - Game 28 (L19 vs L20), Brock University- Alumni Field
Rugby Sevens, 2022-08-09 20:37:00, Female, Final - Gold Medal Game, Brock University- Alumni Field
Sailing, 2022-08-17 11:00:00, 2.4m Para Mix, Final - Race 1, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-17 11:00:00, 2.4m Para Mix, Final - Race 2, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-17 11:00:00, Single Handed Laser Radial Female, Final - Race 1, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-17 11:00:00, Single Handed Laser Radial Female, Final - Race 2, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-17 11:00:00, Single Handed Laser Male, Final - Race 1, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-17 11:00:00, Single Handed Laser Male, Final - Race 2, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-17 11:00:00, Double Handed 29er Female, Final - Race 1, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-17 11:00:00, Double Handed 29er Female, Final - Race 2, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-17 11:00:00, Double Handed 29er Male, Final - Race 1, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-17 11:00:00, Double Handed 29er Male, Final - Race 2, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-18 11:00:00, 2.4m Para Mix, Final - Race 3, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-18 11:00:00, 2.4m Para Mix, Final - Race 4, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-18 11:00:00, Single Handed Laser Radial Female, Final - Race 3, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-18 11:00:00, Single Handed Laser Radial Female, Final - Race 4, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-18 11:00:00, Single Handed Laser Male, Final - Race 3, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-18 11:00:00, Single Handed Laser Male, Final - Race 4, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-18 11:00:00, Double Handed 29er Female, Final - Race 3, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-18 11:00:00, Double Handed 29er Female, Final - Race 4, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-18 11:00:00, Double Handed 29er Male, Final - Race 3, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-18 11:00:00, Double Handed 29er Male, Final - Race 4, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-19 11:00:00, 2.4m Para Mix, Final - Race 5, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-19 11:00:00, 2.4m Para Mix, Final - Race 6, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-19 11:00:00, Single Handed Laser Radial Female, Final - Race 5, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-19 11:00:00, Single Handed Laser Radial Female, Final - Race 6, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-19 11:00:00, Single Handed Laser Male, Final - Race 5, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-19 11:00:00, Single Handed Laser Male, Final - Race 6, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-19 11:00:00, Double Handed 29er Female, Final - Race 5, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-19 11:00:00, Double Handed 29er Female, Final - Race 6, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-19 11:00:00, Double Handed 29er Male, Final - Race 5, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-19 11:00:00, Double Handed 29er Male, Final - Race 6, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-20 11:00:00, 2.4m Para Mix, Final - Race 7, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-20 11:00:00, 2.4m Para Mix, Final - Race 8, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-20 11:00:00, Single Handed Laser Radial Female, Final - Race 7, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-20 11:00:00, Single Handed Laser Radial Female, Final - Race 8, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-20 11:00:00, Single Handed Laser Male, Final - Race 7, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-20 11:00:00, Single Handed Laser Male, Final - Race 8, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-20 11:00:00, Double Handed 29er Female, Final - Race 7, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-20 11:00:00, Double Handed 29er Female, Final - Race 8, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-20 11:00:00, Double Handed 29er Male, Final - Race 7, Niagara-on-the-Lake Sailing Club
Sailing, 2022-08-20 11:00:00, Double Handed 29er Male, Final - Race 8, Niagara-on-the-Lake Sailing Club
Soccer, 2022-08-07 16:00:00, Male, Preliminary | Pool A - Game 1, Youngs Sportsplex
Soccer, 2022-08-07 16:00:00, Male, Preliminary | Pool B - Game 2, Youngs Sportsplex
Soccer, 2022-08-07 19:00:00, Male, Preliminary | Pool C - Game 3, Youngs Sportsplex
Soccer, 2022-08-07 19:00:00, Male, Preliminary | Pool D - Game 4, Youngs Sportsplex
Soccer, 2022-08-08 16:30:00, Male, Preliminary | Pool A - Game 5, Youngs Sportsplex
Soccer, 2022-08-08 16:30:00, Male, Preliminary | Pool B - Game 6, Youngs Sportsplex
Soccer, 2022-08-08 19:30:00, Male, Preliminary | Pool C - Game 7, Youngs Sportsplex
Soccer, 2022-08-08 19:30:00, Male, Preliminary | Pool D - Game 8, Youngs Sportsplex
Soccer, 2022-08-09 16:30:00, Male, Preliminary | Pool A - Game 9, Youngs Sportsplex
Soccer, 2022-08-09 16:30:00, Male, Preliminary | Pool B - Game 10, Youngs Sportsplex
Soccer, 2022-08-09 19:30:00, Male, Preliminary | Pool C - Game 11, Youngs Sportsplex
Soccer, 2022-08-09 19:30:00, Male, Preliminary | Pool D - Game 12, Youngs Sportsplex
Soccer, 2022-08-11 09:30:00, Male, Qualification - Game 17 (3A vs. 3D), Youngs Sportsplex
Soccer, 2022-08-11 09:30:00, Male, Qualification - Game 18 (3B vs. 3C), Youngs Sportsplex
Soccer, 2022-08-11 16:30:00, Male, Qualification - Game 13 (2B vs. 2C), Youngs Sportsplex
Soccer, 2022-08-11 16:30:00, Male, Qualification - Game 14 (2A vs. 2D), Youngs Sportsplex
Soccer, 2022-08-11 19:30:00, Male, Semifinal - Game 15 (1B vs. 1C), Youngs Sportsplex
Soccer, 2022-08-11 19:30:00, Male, Semifinal - Game 16 (1A vs. 1D), Youngs Sportsplex
Soccer, 2022-08-12 09:30:00, Male, Final - 11th / 12th Place Game (L17 vs. L18), Youngs Sportsplex
Soccer, 2022-08-12 09:30:00, Male, Final - 9th / 10th Place Game (W17 vs. W18), Youngs Sportsplex
Soccer, 2022-08-12 13:00:00, Male, Final - 5th / 6th Place Game (W13 vs. W14), Youngs Sportsplex
Soccer, 2022-08-12 13:00:00, Male, Final - 7th / 8th Place Game (L13 vs. L14), Youngs Sportsplex
Soccer, 2022-08-12 16:00:00, Male, Final - Bronze Medal Game (L15 vs. L16), Youngs Sportsplex
Soccer, 2022-08-12 19:00:00, Male, Final - Gold Medal Game (W15 vs. W16), Youngs Sportsplex
Soccer, 2022-08-16 16:30:00, Female, Preliminary | Pool A - Game 1, Youngs Sportsplex
Soccer, 2022-08-16 16:30:00, Female, Preliminary | Pool B - Game 2, Youngs Sportsplex
Soccer, 2022-08-16 19:30:00, Female, Preliminary | Pool C - Game 3, Youngs Sportsplex
Soccer, 2022-08-16 19:30:00, Female, Preliminary | Pool D - Game 4, Youngs Sportsplex
Soccer, 2022-08-17 16:30:00, Female, Preliminary | Pool A - Game 5, Youngs Sportsplex
Soccer, 2022-08-17 16:30:00, Female, Preliminary | Pool B - Game 6, Youngs Sportsplex
Soccer, 2022-08-17 19:30:00, Female, Preliminary | Pool C - Game 7, Youngs Sportsplex
Soccer, 2022-08-17 19:30:00, Female, Preliminary | Pool D - Game 8, Youngs Sportsplex
Soccer, 2022-08-18 16:30:00, Female, Preliminary | Pool A - Game 9, Youngs Sportsplex
Soccer, 2022-08-18 16:30:00, Female, Preliminary | Pool B - Game 10, Youngs Sportsplex
Soccer, 2022-08-18 19:30:00, Female, Preliminary | Pool C - Game 11, Youngs Sportsplex
Soccer, 2022-08-18 19:30:00, Female, Preliminary | Pool D - Game 12, Youngs Sportsplex
Soccer, 2022-08-20 10:00:00, Female, Qualification - Game 17 (3A vs. 3D), Youngs Sportsplex
Soccer, 2022-08-20 10:00:00, Female, Qualification - Game 18 (3B vs. 3C), Youngs Sportsplex
Soccer, 2022-08-20 16:30:00, Female, Qualification - Game 13 (2B vs. 2C), Youngs Sportsplex
Soccer, 2022-08-20 16:30:00, Female, Qualification - Game 14 (2A vs. 2D), Youngs Sportsplex
Soccer, 2022-08-20 19:30:00, Female, Semifinal - Game 15 (1B vs. 1C), Youngs Sportsplex
Soccer, 2022-08-20 19:30:00, Female, Semifinal - Game 16 (1A vs. 1D), Youngs Sportsplex
Soccer, 2022-08-21 08:30:00, Female, Final - 11th / 12th Place Game (L17 vs. L18), Youngs Sportsplex
Soccer, 2022-08-21 08:30:00, Female, Final - 9th / 10th Place Game (W17 vs. W18), Youngs Sportsplex
Soccer, 2022-08-21 11:30:00, Female, Final - 7th / 8th Place Game (L13 vs. L14), Youngs Sportsplex
Soccer, 2022-08-21 11:30:00, Female, Final - Bronze Medal Game (L15 vs. L16), Youngs Sportsplex
Soccer, 2022-08-21 14:30:00, Female, Final - 5th / 6th Place Game (W13 vs. W14), Youngs Sportsplex
Soccer, 2022-08-21 14:30:00, Female, Final - Gold Medal Game (W15 vs. W16), Youngs Sportsplex
Softball, 2022-08-07 10:00:00, Female, Preliminary | Pool A - Game 1 - BC vs PE, Southward Community Park
Softball, 2022-08-07 11:00:00, Female, Preliminary | Pool B - Game 2 - NB vs NL, Southward Community Park
Softball, 2022-08-07 12:00:00, Female, Preliminary | Pool B - Game 3 - AB vs QC, Southward Community Park
